Date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-11-27,258.2833333333333,362.8033333333333,99.48333333333333,57.583333333333336,110.18333333333334,17.54,12.273333333333333,1.9733333333333334,8.493333333333334,5.39,20.400000000000002,,,6.31,13.653333333333334,,74.77,0.33,151.20333333333335,,,78.27,,0.2
2021-11-28,302.8966666666667,432.42,57.74666666666667,56.97,76.48666666666666,19.686666666666667,12.906666666666666,2.0866666666666664,8.596666666666666,5.123333333333334,20.81,,,5.633333333333333,10.393333333333333,,74.78,0.26333333333333336,129.24333333333334,,,72.02,,0.22499999999999998
2021-11-29,259.54333333333335,415.98333333333335,71.5,49.419999999999995,83.47,27.736666666666668,14.846666666666666,1.3266666666666667,8.72,4.91,23.95,,,5.1433333333333335,11.396666666666667,,70.69333333333333,0.2733333333333333,236.88333333333333,,,83.84333333333333,,0.18
2021-11-30,213.30333333333337,294.81,33.49333333333333,46.60666666666666,51.623333333333335,27.24,13.096666666666666,1.5066666666666666,19.786666666666665,2.4466666666666668,5.763333333333333,,,1.5633333333333335,4.353333333333333,,68.76333333333334,0.3466666666666667,227.88000000000002,,,83.68,,0.24
2021-12-01,237.97333333333336,370.8333333333333,30.846666666666664,54.97666666666667,53.916666666666664,32.25,11.753333333333336,2.436666666666667,21.826666666666668,2.8833333333333333,10.276666666666666,,,3.203333333333333,5.273333333333333,,71.10666666666667,0.18666666666666668,200.29,,,37.56333333333333,,0.16
2021-12-02,311.52,485.91,16.096666666666668,44.55666666666667,36.580000000000005,35.37,6.603333333333333,1.7566666666666666,16.426666666666666,2.7266666666666666,6.22,,,1.4400000000000002,2.64,,84.14999999999999,0.29333333333333333,235.85,,,23.35666666666667,,0.18
2021-12-03,201.07666666666668,346.6966666666667,46.52333333333333,37.61666666666667,57.22,35.96333333333333,11.219999999999999,1.3800000000000001,12.386666666666668,2.64,5.766666666666667,,,2.6599999999999997,5.746666666666666,,81.71333333333332,0.23666666666666666,228.1,,,46.89666666666667,,0.175
2021-12-04,141.70333333333335,241.87,63.78666666666667,35.806666666666665,70.07666666666667,30.823333333333334,9.15,1.2,13.996666666666668,2.66,7.739999999999999,,,2.8966666666666665,7.38,,76.00666666666666,0.26,199.82333333333335,,,90.82666666666667,,0.16
2021-12-05,163.3033333333333,295.7866666666667,90.04666666666667,48.803333333333335,97.98,35.68,16.673333333333336,2.44,16.69666666666667,3.5566666666666666,17.19,,,8.49,14.520000000000001,,76.15333333333334,0.22333333333333336,166.62666666666667,,,55.99666666666667,,0.105
2021-12-06,162.75,265.3633333333333,13.563333333333333,41.00666666666667,32.653333333333336,28.330000000000002,14.496666666666664,2.1233333333333335,18.686666666666664,1.9900000000000002,8.176666666666668,,,2.3000000000000003,3.8800000000000003,,72.17,0.41333333333333333,254.03666666666663,,,75.27000000000001,,0.08
2021-12-07,131.77,223.48333333333335,11.19,37.49,28.896666666666665,52.28,19.346666666666668,2.0066666666666664,14.530000000000001,1.5766666666666669,4.62,,,1.39,2.4833333333333334,,71.14999999999999,0.4166666666666667,275.53666666666663,,,92.22666666666667,,0.13
2021-12-08,140.33666666666667,242.59,24.849999999999998,39.61333333333334,40.93666666666667,53.11333333333334,12.49,2.0,16.173333333333336,1.1666666666666667,1.0599999999999998,,,2.0166666666666666,3.13,,69.84333333333333,0.3433333333333333,237.97,,,90.52999999999999,,0.135
2021-12-09,166.85,269.0466666666667,34.79,45.45666666666667,51.99666666666667,45.28333333333333,14.923333333333332,1.0166666666666666,10.23,1.3566666666666667,4.693333333333333,,,4.036666666666666,3.89,,71.87333333333333,0.24666666666666667,225.5,,,78.71000000000001,,0.11
2021-12-10,160.23,285.00333333333333,22.47,48.29,43.626666666666665,22.30333333333333,7.563333333333333,1.4366666666666668,15.65,1.8533333333333335,4.876666666666667,,,1.4833333333333334,3.516666666666667,,68.73666666666666,0.3566666666666667,238.16,,,79.75666666666667,,0.13
2021-12-11,128.76000000000002,222.53333333333333,20.86,40.42333333333334,38.26666666666667,23.80666666666667,11.373333333333335,1.1966666666666665,18.05,1.5533333333333335,2.5833333333333335,,,0.9433333333333334,2.5866666666666664,,65.61666666666666,0.4066666666666667,221.58,,,91.54,,0.12
2021-12-12,141.80666666666667,219.37,55.94666666666666,44.46666666666667,68.39999999999999,24.073333333333334,11.986666666666666,1.8833333333333335,17.249999999999996,1.99,6.586666666666666,,,3.1666666666666665,5.876666666666666,,67.45,0.2833333333333333,206.44333333333336,,,81.69,,0.11
2021-12-13,181.05333333333337,298.1433333333333,120.17,44.09,119.57666666666667,35.53666666666667,15.886666666666665,2.143333333333333,19.540000000000003,3.106666666666667,10.446666666666667,,,4.116666666666666,10.299999999999999,,73.49333333333333,0.29,163.56333333333336,,,69.55666666666666,,0.16
2021-12-14,143.30666666666667,382.77666666666664,120.99666666666667,48.41,122.52666666666666,31.996666666666666,14.083333333333334,2.6666666666666665,24.94,5.78,20.51,,,5.46,12.29,,76.37333333333333,0.2833333333333333,153.5533333333333,,,69.27666666666666,,0.155
2021-12-15,212.13666666666668,345.90000000000003,31.013333333333332,46.21333333333333,49.343333333333334,29.496666666666666,12.866666666666665,1.5200000000000002,16.61,3.3866666666666667,17.12,,,4.093333333333334,8.4,,67.50333333333333,0.36333333333333334,147.99333333333334,,,79.86999999999999,,0.16
2021-12-16,243.49666666666667,368.83666666666664,18.82,52.18666666666667,42.81,39.04333333333333,6.886666666666667,1.656666666666667,14.876666666666665,4.403333333333333,21.256666666666664,,,4.343333333333333,7.936666666666667,,64.21333333333334,0.5566666666666666,178.25666666666666,,,57.556666666666665,,0.19
2021-12-17,157.48666666666668,287.09,5.213333333333334,35.32,22.95,36.27,7.563333333333333,1.0333333333333334,24.58,2.24,4.683333333333334,,,1.6433333333333333,2.493333333333333,,63.31,0.7033333333333335,332.19,,,93.59666666666665,,0.10000000000000002
2021-12-18,149.96,265.45666666666665,6.616666666666667,32.24,22.44,35.60333333333333,7.866666666666667,0.9333333333333332,18.30666666666667,2.4266666666666667,4.133333333333334,,,1.45,2.2533333333333334,,72.09666666666666,0.7200000000000001,301.12666666666667,,,80.54,,0.16999999999999998
2021-12-19,170.29333333333332,265.83666666666664,8.860000000000001,37.75,27.16,35.50333333333334,8.88,0.9366666666666666,20.51,2.5066666666666664,3.643333333333333,,,1.4633333333333332,2.4299999999999997,,61.49333333333334,0.49333333333333335,279.7033333333333,,,89.03333333333335,,0.14
2021-12-20,164.79333333333332,356.73333333333335,70.37,41.11666666666667,78.12666666666667,51.14666666666667,11.073333333333332,1.46,18.34,4.803333333333334,14.503333333333332,,,4.263333333333334,10.459999999999999,,67.17,0.3333333333333333,222.09333333333333,,,94.88999999999999,,0.12
2021-12-21,229.42666666666665,504.25333333333333,138.64333333333332,47.76,141.80666666666664,71.98333333333333,11.013333333333334,1.78,18.316666666666666,7.566666666666666,29.55,,,11.910000000000002,23.709999999999997,,69.89666666666666,0.25333333333333335,201.21333333333334,,,86.89,,0.16499999999999998
2021-12-22,332.83666666666664,504.0733333333333,100.43333333333334,50.056666666666665,106.96666666666665,65.39,10.659999999999998,1.6666666666666667,19.19666666666667,8.416666666666666,35.53666666666667,,,11.286666666666667,20.473333333333333,,70.06666666666666,0.22,190.26666666666665,,,84.38333333333333,,0.14500000000000002
2021-12-23,149.14000000000001,385.10999999999996,72.36,61.25666666666666,90.46,55.61000000000001,9.67,1.83,26.23333333333333,6.68,25.0,,,8.22,16.16,,66.62666666666667,0.41333333333333333,147.47666666666666,,,71.06666666666666,,0.14
2021-12-24,155.77333333333334,357.39000000000004,42.223333333333336,50.09,60.410000000000004,42.833333333333336,11.223333333333334,2.13,20.14,2.4133333333333336,5.133333333333334,,,1.9333333333333333,3.5133333333333336,,74.75333333333333,0.3333333333333333,150.83666666666667,,,72.41666666666667,,0.14
2021-12-25,299.56666666666666,547.8966666666666,122.32666666666667,53.29666666666666,126.19666666666667,44.54333333333333,12.57,3.84,32.376666666666665,1.0,0.6,,,0.3,0.20000000000000004,,78.29666666666667,0.2333333333333333,146.12666666666667,,,71.9,,0.135
2021-12-26,187.72333333333333,533.6866666666666,70.14,48.98666666666666,82.14999999999999,41.31666666666667,9.763333333333334,3.9233333333333333,23.343333333333334,1.0,0.6,,,0.3,0.20000000000000004,,83.32,0.45,131.83666666666667,,,36.04333333333333,,0.17
2021-12-27,93.06333333333333,260.58,33.53666666666667,36.169999999999995,46.06,35.196666666666665,11.206666666666669,2.27,18.676666666666666,5.68,11.94,,,4.569999999999999,6.69,,73.83,0.35000000000000003,113.93333333333334,,,78.8,,0.12000000000000001
2021-12-28,108.71,299.59,30.823333333333334,49.63,51.06,39.556666666666665,9.813333333333333,2.1533333333333333,14.663333333333334,9.733333333333333,19.936666666666667,,,4.276666666666666,7.683333333333334,,75.85333333333334,0.31666666666666665,120.36,,,24.56,,0.15
